EAN,ITEM SKU,PRODUCT NAME,BRAND NAME,REQUIRED PRICE TO AMAZON
85805758745,1398,Sunflowers,Elizabeth Arden,12.18
85805757748,1399,Sunflowers,Elizabeth Arden,22.79
85805757847,1400,Sunflowers,Elizabeth Arden,14.79
719346450508,1405,Diamonds and Emeralds,Elizabeth Taylor,24.25
719346450607,1406,Diamonds and Rubies,Elizabeth Taylor,23.78
719346450409,1407,Diamonds and Saphires,Elizabeth Taylor,22.31
719346013444,1408,Forever Elizabeth,Elizabeth Taylor,35.07
719346022705,1409,White Diamonds,Elizabeth Taylor,43.46
8032529118364,1416,Diva,Emanuel Ungaro,66.19
3614227293960,1444,Magnetism,ESCADA,55.24
27131086871,1484,Beautiful,Estée Lauder,102.82
27131043294,1500,Pleasures,Estée Lauder,72.92
27131043317,1501,Pleasures,Estée Lauder,101.14
27131043287,1504,Pleasures,Estée Lauder,53.84
27131286905,1511,Pleasures Intense,Estée Lauder,90.29
27131521433,1513,Pleasures For Men,Estée Lauder,71.16
8002135046542,1554,Scuderia Ferrari Black,Ferrari,22.85
3360372060734,1597,Acqua di Giò Pour Homme,Giorgio Armani,41.48
3605521593078,1608,Acqua di Giò Pour Homme,Giorgio Armani,145.12
3360372058878,1610,Acqua di Giò Pour Homme,Giorgio Armani,102.72
3360372100522,1618,Code,Giorgio Armani,104.39
3360375004056,1622,Code,Giorgio Armani,103.64
719346548212,1712,G,Giorgio Beverly Hills,23.86
716393018859,1719,Wings,Giorgio Beverly Hills,30.21
3274878122561,1723,Amarige,Givenchy,102.72
3685397222568,1788,Pí,Givenchy,84.45
3274870302367,1797,Givenchy Pour Homme,Givenchy,76.61
608940522653,1961,Man,GUESS,32.39
3360372009436,1967,Drakkar Noir,Guy Laroche,43.34
3360372009641,1970,Fidji,Guy Laroche,57.36
3346131400003,1990,Terre d´Hermès,Hermes,112.54
3346131400041,1991,Terre d´Hermès,Hermes,91.67
3346131400119,1992,Terre d´Hermès,Hermes,83.44
3346138900094,1996,Un Jardin Sur Le Nil,Hermes,101.38
3346138900087,1998,Un Jardin Sur Le Nil,Hermes,109.44
